,estado,setor,faturamento_informado,divida_total_pj,score,taxa,atraso_corrente,prazo,valor_contrato,valor_contrato_mais_juros,valor_em_aberto
1517,SP,INDUSTRIA DA CONSTRUCAO,375000.0,82000.0,148,5.1135,0,12.6,33292.0035,40517.4,0.0
1518,GO,TELECOM,25000.0,9000.0,441,5.082,0,12.6,16647.204,20394.96,0.0
1519,PR,VAREJO,120000.0,250000.0,853,4.0425,1312,12.6,55794.7005,63762.72,47822.04
1520,RS,BENS DE CONSUMO,40000.0,26000.0,253,5.628,0,12.6,27921.5895,36231.24,0.0
1521,RS,VAREJO,50000.0,78000.0,230,4.9875,0,12.6,16646.217,20141.64,0.0
1522,GO,SERVICOS PROFISSIONAIS E TECNICOS,35000.0,4000.0,214,5.5545,1116,12.6,11100.054,14299.44,5634.14
1523,SP,INDUSTRIA AUTOMOTIVA,400000.0,278000.0,372,4.5465,0,12.6,39060.609,46104.84,0.0
1524,RS,SERVICOS ADMINISTRATIVOS,20000.0,715.0,686,4.809,0,12.6,11097.114,13255.68,0.0
1525,SP,VAREJO,100000.0,109000.0,433,4.431,0,12.6,39054.1305,45494.28,0.0
1526,SC,INDUSTRIA DA CONSTRUCAO,200000.0,40000.0,691,3.549,0,12.6,55838.916,63413.16,0.0
1527,PR,VAREJO,45000.0,4000.0,284,5.439,0,12.6,5548.893,6910.56,0.0
1528,RJ,TEXTEIS,15000.0,1000.0,521,5.67,1165,12.6,5548.599,6950.28,5094.39
1529,PA,INDUSTRIA DA CONSTRUCAO,85000.0,0.0,361,4.1685,0,12.6,21564.648,24813.6,0.0
1530,PR,BENS DE CONSUMO,100000.0,287000.0,329,4.8825,0,12.6,55825.0035,68323.44,0.0
1531,PR,SERVICOS PROFISSIONAIS E TECNICOS,30000.0,15000.0,725,4.977,0,3.15,10678.164,10957.26,0.0
1532,SP,SERVICOS DE SAUDE,35000.0,36000.0,898,4.3995,0,12.6,33300.8865,40102.32,0.0
1533,RJ,SERVICOS ADMINISTRATIVOS,400000.0,5000.0,267,4.0845,1214,6.3,54240.9315,57171.96,57171.96
1534,BA,VAREJO,60000.0,12000.0,366,5.103,0,12.6,22320.123,27182.04,0.0
1535,SP,SERVICOS DIVERSOS,26000.0,0.0,151,6.2895,822,6.3,5408.0355,6105.96,4616.68
1536,PR,SERVICOS ADMINISTRATIVOS,200000.0,161000.0,537,4.137,0,15.75,84813.1095,100215.75,0.0
1537,SP,SERVICOS DIVERSOS,120000.0,112000.0,91,4.683,0,12.6,33474.504,39566.16,0.0
1538,SP,VAREJO,400000.0,0.0,361,4.4835,1616,6.3,16285.3005,17844.36,17844.36
1539,ES,SERVICOS DE ALOJAMENTO/ALIMENTACAO,80000.0,17630.0,138,6.1215,0,12.6,5549.9955,7390.2,0.0
1540,SP,SERVICOS PROFISSIONAIS E TECNICOS,50000.0,0.0,498,4.6095,0,12.6,11097.996,13224.36,0.0
1541,SP,VAREJO,28000.0,18000.0,399,4.662,1063,12.6,11097.345,13178.76,4602.84
1542,RJ,VAREJO,10000.0,0.0,167,6.132,1550,12.6,5549.607,7318.32,7318.32
